product,market_code,market_name,export_value,global_market_size,market_rank,market_share_pct,afghanistan_rank,yoy_growth_pct,cagr_pct,growth_percentage,unit_price,market_avg_price,price_vs_market_pct,price_competitiveness,avg_competitor_price,price_rank
Woven Carpets,842,USA,171761.0,91228284.0,1,0.18827603947915977,,-67.28355673058425,-23.301875556762287,-54.881543727294456,20.377387590461502,191.24754374005317,-89.34501997151986,Highly Competitive,,
Woven Carpets,276,Germany,905816.681,70547019.123,2,1.283990014405417,,-47.86671802001575,-44.45378627366517,-82.86187198142069,13.421892499407301,98.10775729369556,-86.31923420772172,Highly Competitive,,
Woven Carpets,251,France,503956.344,41798087.065000005,3,1.2056923639024437,,-61.61763239840554,794.6687822817704,71512.17285038295,32.389022255242466,68.22402372144163,-52.52548810740525,Highly Competitive,,
Woven Carpets,826,United Kingdom,179570.987,29827341.636,4,0.6020348349893423,,-72.75432126007834,47.71440939552778,222.30614604306362,43.58519101941747,560.1905491298742,-92.21957759067571,Highly Competitive,,
Woven Carpets,752,Sweden,254740.004,27912388.24,5,0.9126413756130815,,24.66940340978496,24.80005453156833,94.37675399951873,28.558296412556054,109.22405813156546,-73.85347431592749,Highly Competitive,,
Woven Carpets,724,Spain,69348.368,20661481.922,6,0.33564082315973187,,-87.59227729602296,-2.096453381846264,-6.158428057815329,65.22706135532513,797.5083397513738,-91.82114366657785,Highly Competitive,,
Woven Carpets,757,757,225191.736,15213178.957,7,1.480241155622396,,-36.573051401654624,-21.22412231152202,-51.11453485943783,26.744105807935593,327.48018164321263,-91.8333666258091,Highly Competitive,,
Woven Carpets,792,Turkey,2237264.0,10201376.0,8,21.931002249108356,,19.053051911009696,223.44079552750284,3283.641863278887,6.223888901252977,59.816300753275236,-89.59499530583695,Highly Competitive,,
Woven Carpets,208,Denmark,0.0,8655140.52,9,0.0,,-98.68786806078441,-88.54516722419925,-98.68786806078441,,,,,,
Woven Carpets,124,Canada,3619.928,7693509.883,10,0.04705171053330016,,-76.81451783357718,-41.89383850879964,-80.3814656008713,28.2806875,64.99856556428367,-56.49028981719548,Highly Competitive,,
Raw Cashmere,380,Italy,1752250.288,269135474.152,1,0.6510662682134497,,37.229414857137,-2.817359883077575,-8.216190432024703,75.76970889907463,112.15825633297123,-32.44393112341872,Highly Competitive,,
Raw Cashmere,826,United Kingdom,14910.136,181470860.017,2,0.008216270093503297,,-99.09979587589763,-90.51209125200725,-99.09979587589763,,,,,,
Raw Cashmere,251,France,0.0,34382633.589,3,0.0,,,,,,,,,,
Raw Cashmere,792,Turkey,0.0,25350248.0,4,0.0,,,,,,,,,,
Raw Cashmere,276,Germany,596861.216,19790200.777,5,3.0159432070728,,940.2587943047628,39.80239129390428,173.2397001029415,91.20739853300734,83.79652379212456,8.84389280785329,Average,,
Raw Cashmere,699,India,0.0,8462866.765,6,0.0,,,,,,,,,,
Raw Cashmere,788,788,0.0,3169622.586,7,0.0,,,,,,,,,,
Raw Cashmere,410,South Korea,0.0,2188794.0,8,0.0,,,,,,,,,,
Raw Cashmere,620,Portugal,0.0,2161556.5500000003,9,0.0,,,,,,,,,,
Raw Cashmere,392,Japan,0.0,1580800.927,10,0.0,,,,,,,,,,
Cashmere Sweaters,276,Germany,0.0,1396293496.159,1,0.0,,,,,,,,,,
Cashmere Sweaters,251,France,0.0,1008095442.12,2,0.0,,,,,,,,,,
Cashmere Sweaters,842,USA,0.0,511993029.0,3,0.0,,,,,,,,,,
Cashmere Sweaters,826,United Kingdom,0.0,408007356.407,4,0.0,,,,,,,,,,
Cashmere Sweaters,724,Spain,0.0,384500802.122,5,0.0,,,,,,,,,,
Cashmere Sweaters,757,757,126713.796,352240799.509,6,0.0359736283180797,,,,,,,,,,
Cashmere Sweaters,124,Canada,11108.076,195029242.289,7,0.005695595116725998,,,,,106.80842307692306,193.69438217770198,-44.85724269538531,Highly Competitive,,
Cashmere Sweaters,380,Italy,0.0,180702200.145,8,0.0,,,,,,,,,,
Cashmere Sweaters,392,Japan,0.0,127334849.197,9,0.0,,,,,,,,,,
Cashmere Sweaters,156,China,0.0,123899509.0,10,0.0,,,,,,,,,,
